bodyPart,equipment,name,target
upper arms,barbell,barbell biceps curl (with arm blaster),arms
upper legs,barbell,barbell clean and press,legs
upper legs,barbell,barbell clean-grip front squat,legs
upper arms,barbell,barbell close-grip bench press,arms
upper arms,barbell,barbell curl,arms
upper legs,barbell,barbell deadlift,legs
chest,barbell,barbell decline bench press,chest
back,barbell,barbell decline bent arm pullover,back
upper arms,barbell,barbell decline close grip to skull press,arms
chest,barbell,barbell decline pullover,chest
chest,barbell,barbell decline wide-grip press,chest
back,barbell,barbell decline wide-grip pullover,back
upper arms,barbell,barbell drag curl,arms
lower legs,barbell,barbell floor calf raise,legs
upper legs,barbell,barbell front chest squat,legs
shoulders,barbell,barbell front raise,shoulders
chest,barbell,barbell front raise and pullover,chest
upper legs,barbell,barbell front squat,legs
upper legs,barbell,barbell full squat,legs
upper legs,barbell,barbell full squat (back pov),legs
upper legs,barbell,barbell full squat (side pov),legs
upper legs,barbell,barbell full zercher squat,legs
upper legs,barbell,barbell glute bridge,legs
upper legs,barbell,barbell glute bridge two legs on bench (male),legs
upper legs,barbell,barbell good morning,legs
chest,barbell,barbell guillotine bench press,chest
upper legs,barbell,barbell hack squat,legs
upper legs,barbell,barbell high bar squat,legs
chest,barbell,barbell incline bench press,chest
upper arms,barbell,barbell incline close grip bench press,arms
upper arms,barbell,barbell incline reverse-grip press,arms
back,barbell,barbell incline row,back
chest,barbell,barbell incline shoulder raise,back
upper legs,barbell,barbell jefferson squat,legs
upper arms,barbell,barbell jm bench press,arms
upper legs,barbell,barbell jump squat,legs
upper legs,barbell,barbell lateral lunge,legs
upper legs,barbell,barbell low bar squat,legs
upper legs,barbell,barbell lunge,legs
upper arms,barbell,barbell lying back of the head tricep extension,arms
upper arms,barbell,barbell lying close-grip press,arms
upper arms,barbell,barbell lying close-grip triceps extension,arms
upper arms,barbell,barbell lying extension,arms
upper legs,barbell,barbell lying lifting (on hip),legs
upper arms,barbell,barbell lying preacher curl,arms
upper arms,barbell,barbell lying triceps extension,arms
upper arms,barbell,barbell lying triceps extension skull crusher,arms
upper legs,barbell,barbell narrow stance squat,legs
back,barbell,barbell one arm bent over row,back
upper arms,barbell,barbell one arm floor press,arms
upper legs,barbell,barbell one arm side deadlift,legs
shoulders,barbell,barbell one arm snatch,shoulders
upper legs,barbell,barbell one leg squat,legs
upper legs,barbell,barbell overhead squat,legs
lower arms,barbell,barbell palms down wrist curl over a bench,arms
lower arms,barbell,barbell palms up wrist curl over a bench,arms
back,barbell,barbell pendlay row,back
upper arms,barbell,barbell pin presses,arms
upper arms,barbell,barbell preacher curl,arms
waist,barbell,barbell press sit-up,abs
upper arms,barbell,barbell prone incline curl,arms
back,barbell,barbell pullover,back
back,barbell,barbell pullover to press,back
upper legs,barbell,barbell rack pull,legs
shoulders,barbell,barbell rear delt raise,shoulders
shoulders,barbell,barbell rear delt row,shoulders
upper legs,barbell,barbell rear lunge,legs
upper legs,barbell,barbell rear lunge v. 2,legs
lower arms,barbell,barbell revers wrist curl v. 2,arms
upper arms,barbell,barbell reverse close-grip bench press,arms
upper arms,barbell,barbell reverse curl,arms
back,barbell,barbell reverse grip bent over row,back
chest,barbell,barbell reverse grip decline bench press,chest
chest,barbell,barbell reverse grip incline bench press,chest
back,barbell,barbell reverse grip incline bench row,back
upper arms,barbell,barbell reverse grip skullcrusher,arms
upper arms,barbell,barbell reverse preacher curl,arms
lower arms,barbell,barbell reverse wrist curl,arms
waist,barbell,barbell rollerout,abs
waist,barbell,barbell rollerout from bench,abs
upper legs,barbell,barbell romanian deadlift,legs
shoulders,barbell,barbell seated behind head military press,shoulders
shoulders,barbell,barbell seated bradford rocky press,shoulders
lower legs,barbell,barbell seated calf raise,legs
lower legs,barbell,barbell seated calf raise,legs
upper arms,barbell,barbell seated close grip behind neck triceps extension,arms
upper arms,barbell,barbell seated close-grip concentration curl,arms
upper legs,barbell,barbell seated good morning,legs
shoulders,barbell,barbell seated overhead press,shoulders
upper arms,barbell,barbell seated overhead triceps extension,arms
waist,barbell,barbell seated twist,abs
back,barbell,barbell shrug,back
waist,barbell,barbell side bent v. 2,abs
upper legs,barbell,barbell side split squat,legs
upper legs,barbell,barbell side split squat v. 2,legs
upper legs,barbell,barbell single leg deadlift,legs
upper legs,barbell,barbell single leg split squat,legs
waist,barbell,barbell sitted alternate leg raise,abs
waist,barbell,barbell sitted alternate leg raise (female),abs
shoulders,barbell,barbell skier,shoulders
upper legs,barbell,barbell speed squat,legs
upper legs,barbell,barbell split squat v. 2,legs
upper legs,barbell,barbell squat (on knees),legs
upper legs,barbell,barbell squat jump step rear lunge,legs
waist,barbell,barbell standing ab rollerout,abs
lower arms,barbell,barbell standing back wrist curl,arms
shoulders,barbell,barbell standing bradford press,shoulders
lower legs,barbell,barbell standing calf raise,legs
upper arms,barbell,barbell standing close grip curl,arms
shoulders,barbell,barbell standing close grip military press,shoulders
upper arms,barbell,barbell standing concentration curl,arms
shoulders,barbell,barbell standing front raise over head,shoulders
lower legs,barbell,barbell standing leg calf raise,legs
upper arms,barbell,barbell standing overhead triceps extension,arms
upper arms,barbell,barbell standing reverse grip curl,arms
lower legs,barbell,barbell standing rocking leg calf raise,legs
waist,barbell,barbell standing twist,abs
upper arms,barbell,barbell standing wide grip biceps curl,arms
shoulders,barbell,barbell standing wide military press,shoulders
upper arms,barbell,barbell standing wide-grip curl,arms
upper legs,barbell,barbell step-up,legs
upper legs,barbell,barbell stiff leg good morning,legs
upper legs,barbell,barbell straight leg deadlift,legs
upper legs,barbell,barbell sumo deadlift,legs
shoulders,barbell,barbell thruster,shoulders
shoulders,barbell,barbell upright row,shoulders
shoulders,barbell,barbell upright row v. 2,shoulders
shoulders,barbell,barbell upright row v. 3,shoulders
chest,barbell,barbell wide bench press,chest
chest,barbell,barbell wide reverse grip bench press,chest
upper legs,barbell,barbell wide squat,legs
shoulders,barbell,barbell wide-grip upright row,shoulders
lower arms,barbell,barbell wrist curl,arms
lower arms,barbell,barbell wrist curl v. 2,arms
upper legs,barbell,barbell zercher squat,legs
upper legs,body weight,basic toe touch (male),legs
shoulders,rope,battling ropes,shoulders
cardio,body weight,bear crawl,cardio
chest,assisted,behind head chest stretch,chest
upper arms,body weight,bench dip (knees bent),arms
upper arms,body weight,bench dip on floor,arms
upper legs,body weight,bench hip extension,legs
back,body weight,bench pull-ups,back
upper legs,body weight,bent knee lying twist (male),legs
upper arms,body weight,biceps leg concentration curl,arms
upper arms,body weight,biceps narrow pull-ups,arms
upper arms,body weight,biceps pull-up,arms
upper arms,body weight,body-up,arms
upper legs,body weight,bodyweight drop jump squat,legs
waist,body weight,bodyweight incline side plank,abs
upper arms,body weight,bodyweight kneeling triceps extension,arms
upper arms,body weight,bodyweight side lying biceps curl,arms
back,body weight,bodyweight squatting row,back
back,body weight,bodyweight squatting row (with towel),back
lower legs,body weight,bodyweight standing calf raise,legs
back,body weight,bodyweight standing close-grip one arm row,back
back,body weight,bodyweight standing close-grip row,back
back,body weight,bodyweight standing one arm row,back
back,body weight,bodyweight standing one arm row (with towel),back
back,body weight,bodyweight standing row,back
back,body weight,bodyweight standing row (with towel),back
waist,body weight,bottoms-up,abs
lower legs,body weight,box jump down with one leg stabilization,legs
waist,body weight,bridge - mountain climber (cross body),abs
cardio,body weight,burpee,cardio
waist,body weight,butt-ups,abs
upper legs,body weight,butterfly yoga pose,legs
shoulders,cable,cable alternate shoulder press,shoulders
upper arms,cable,cable alternate triceps extension,arms
upper legs,cable,cable assisted inverse leg curl,legs
back,cable,cable bar lateral pulldown,back
chest,cable,cable bench press,chest
upper arms,cable,cable close grip curl,arms
upper arms,cable,cable concentration curl,arms
upper arms,cable,cable concentration extension (on knee),arms
back,cable,cable cross-over lateral pulldown,back
shoulders,cable,cable cross-over revers fly,shoulders
chest,cable,cable cross-over variation,chest
upper arms,cable,cable curl,arms
upper legs,cable,cable deadlift,legs
chest,cable,cable decline fly,chest
chest,cable,cable decline one arm press,chest
chest,cable,cable decline press,chest
back,cable,cable decline seated wide-grip row,back
upper arms,cable,cable drag curl,arms
back,cable,cable floor seated wide-grip row,back
shoulders,cable,cable forward raise,shoulders
shoulders,cable,cable front raise,shoulders
shoulders,cable,cable front shoulder raise,shoulders
upper arms,cable,cable hammer curl (with rope),arms
upper arms,cable,cable high pulley overhead tricep extension,arms
back,cable,cable high row (kneeling),back
upper legs,cable,cable hip adduction,legs
chest,cable,cable incline bench press,chest
back,cable,cable incline bench row,back
chest,cable,cable incline fly,chest
chest,cable,cable incline fly (on stability ball),chest
back,cable,cable incline pushdown,back
upper arms,cable,cable incline triceps extension,arms
waist,cable,cable judo flip,abs
upper arms,cable,cable kickback,arms
waist,cable,cable kneeling crunch,abs
shoulders,cable,cable kneeling rear delt row (with rope) (male),shoulders
upper arms,cable,cable kneeling triceps extension,arms
back,cable,cable lat pulldown full range of motion,back
back,cable,cable lateral pulldown (with rope attachment),back
back,cable,cable lateral pulldown with v-bar,back
shoulders,cable,cable lateral raise,shoulders
chest,cable,cable low fly,chest
back,cable,cable low seated row,back
upper arms,cable,cable lying bicep curl,arms
upper arms,cable,cable lying close-grip curl,arms
back,cable,cable lying extension pullover (with rope attachment),back
chest,cable,cable lying fly,chest
upper arms,cable,cable lying triceps extension v. 2,arms
chest,cable,cable middle fly,chest
back,cable,cable one arm bent over row,back
upper arms,cable,cable one arm curl,arms
chest,cable,cable one arm decline chest fly,chest
chest,cable,cable one arm fly on exercise ball,chest
chest,cable,cable one arm incline fly on exercise ball,chest
chest,cable,cable one arm incline press,chest
chest,cable,cable one arm incline press on exercise ball,chest
chest,cable,cable one arm lateral bent-over,chest
shoulders,cable,cable one arm lateral raise,shoulders
upper arms,cable,cable one arm preacher curl,arms
chest,cable,cable one arm press on exercise ball,chest
back,cable,cable one arm pulldown,back
upper arms,cable,cable one arm reverse preacher curl,arms
back,cable,cable one arm straight back high row (kneeling),back
upper arms,cable,cable one arm tricep pushdown,arms
upper arms,cable,cable overhead curl,arms
upper arms,cable,cable overhead curl on exercise ball,arms
upper arms,cable,cable overhead triceps extension (rope attachment),arms
back,cable,cable palm rotational row,back
upper arms,cable,cable preacher curl,arms
chest,cable,cable press on exercise ball,chest
upper legs,cable,cable pull through (with rope),legs
back,cable,cable pulldown,back
back,cable,cable pulldown (pro lat bar),back
upper arms,cable,cable pulldown bicep curl,arms
upper arms,cable,cable pushdown,arms
back,cable,cable pushdown (straight arm) v. 2,back
upper arms,cable,cable pushdown (with rope attachment),arms
shoulders,cable,cable rear delt row (stirrups),shoulders
shoulders,cable,cable rear delt row (with rope),shoulders
upper arms,cable,cable rear drive,arms
back,cable,cable rear pulldown,back
waist,cable,cable reverse crunch,abs
upper arms,cable,cable reverse curl,arms
upper arms,cable,cable reverse grip triceps pushdown (sz-bar) (with arm blaster),arms
upper arms,cable,cable reverse one arm curl,arms
upper arms,cable,cable reverse preacher curl,arms
lower arms,cable,cable reverse wrist curl,arms
upper arms,cable,cable reverse-grip pushdown,arms
back,cable,cable reverse-grip straight back seated high row,back
back,cable,cable rope crossover seated row,back
back,cable,cable rope elevated seated row,back
back,cable,cable rope extension incline bench row,back
upper arms,cable,cable rope hammer preacher curl,arms
upper arms,cable,cable rope high pulley overhead tricep extension,arms
upper arms,cable,cable rope incline tricep extension,arms
upper arms,cable,cable rope lying on floor tricep extension,arms
upper arms,cable,cable rope one arm hammer preacher curl,arms
back,cable,cable rope seated row,back
waist,cable,cable russian twists (on stability ball),abs
chest,cable,cable seated chest press,chest
waist,cable,cable seated crunch,abs
upper arms,cable,cable seated curl,arms
back,cable,cable seated high row (v-bar),back
back,cable,cable seated one arm alternate row,back
upper arms,cable,cable seated one arm concentration curl,arms
upper arms,cable,cable seated overhead curl,arms
shoulders,cable,cable seated rear lateral raise,shoulders
back,cable,cable seated row,back
shoulders,cable,cable seated shoulder internal rotation,shoulders
waist,cable,cable seated twist,abs
back,cable,cable seated wide-grip row,back
shoulders,cable,cable shoulder press,shoulders
back,cable,cable shrug,back
waist,cable,cable side bend,abs
waist,cable,cable side bend crunch (bosu ball),abs
waist,cable,cable side crunch,abs
back,cable,cable squat row (with rope attachment),back
upper arms,cable,cable squatting curl,arms
lower arms,cable,cable standing back wrist curl,arms
lower legs,cable,cable standing calf raise,legs
shoulders,cable,cable standing cross-over high reverse fly,shoulders
waist,cable,cable standing crunch,abs
waist,cable,cable standing crunch (with rope attachment),abs
chest,cable,cable standing fly,chest
upper legs,cable,cable standing hip extension,legs
upper arms,cable,cable standing inner curl,arms
waist,cable,cable standing lift,abs
upper arms,cable,cable standing one arm triceps extension,arms
lower legs,cable,cable standing one leg calf raise,legs
upper arms,cable,cable standing pulldown (with rope),arms
shoulders,cable,cable standing rear delt row (with rope),shoulders
upper arms,cable,cable standing reverse grip one arm overhead tricep extension,arms
back,cable,cable standing row (v-bar),back
shoulders,cable,cable standing shoulder external rotation,shoulders
back,cable,cable standing twist row (v-bar),back
chest,cable,cable standing up straight crossovers,chest
back,cable,cable straight arm pulldown,back
back,cable,cable straight arm pulldown (with rope),back
back,cable,cable straight back seated row,back
shoulders,cable,cable supine reverse fly,shoulders
back,cable,cable thibaudeau kayak row,back
upper arms,cable,cable triceps pushdown (v-bar),arms
upper arms,cable,cable triceps pushdown (v-bar) (with arm blaster),arms
waist,cable,cable tuck reverse crunch,abs
waist,cable,cable twist,abs
waist,cable,cable twist (up-down),abs
back,cable,cable twisting pull,back
upper arms,cable,cable two arm curl on incline bench,arms
upper arms,cable,cable two arm tricep kickback,arms
back,cable,cable underhand pulldown,back
chest,cable,cable upper chest crossovers,chest
back,cable,cable upper row,back
shoulders,cable,cable upright row,shoulders
back,cable,cable wide grip rear pulldown behind neck,back
lower arms,cable,cable wrist curl,arms
lower legs,body weight,calf push stretch with hands against wall,legs
lower legs,body weight,calf stretch with hands against wall,legs
lower legs,rope,calf stretch with rope,legs
back,barbell,cambered bar lying row,back
waist,body weight,captains chair straight leg raise,abs
upper legs,body weight,chair leg extended stretch,legs
chest,body weight,chest and front of shoulder stretch,chest
chest,body weight,chest dip,chest
chest,body weight,chest dip (on dip-pull-up cage),chest
chest,body weight,chest dip on straight bar,chest
chest,stability ball,chest stretch with exercise ball,chest
chest,body weight,chest tap push-up (male),chest
back,body weight,chin-up,back
back,body weight,chin-ups (narrow parallel grip),back
lower legs,body weight,circles knee stretch,legs
chest,body weight,clap push up,chest
chest,body weight,clock push-up,chest
back,body weight,close grip chin-up,back
upper arms,body weight,close-grip push-up,arms
upper arms,body weight,close-grip push-up (on knees),arms
waist,body weight,cocoons,abs
waist,body weight,crab twist toe touch,abs
waist,body weight,cross body crunch,abs
waist,body weight,crunch (hands overhead),abs
waist,stability ball,crunch (on stability ball),abs
waist,stability ball,"crunch (on stability ball, arms straight)",abs
waist,body weight,crunch floor,abs
waist,body weight,curl-up,abs
upper legs,body weight,curtsey squat,legs
cardio,leverage machine,cycle cross trainer,cardio
waist,body weight,dead bug,abs
waist,body weight,decline crunch,abs
chest,body weight,decline push-up,chest
waist,body weight,decline sit-up,abs
chest,dumbbell,deep push up,chest
upper arms,body weight,diamond push-up,arms
lower legs,body weight,donkey calf raise,legs
chest,body weight,drop push up,chest
upper arms,dumbbell,dumbbell alternate biceps curl,arms
upper arms,dumbbell,dumbbell alternate biceps curl (with arm blaster),arms
upper arms,dumbbell,dumbbell alternate hammer preacher curl,arms
upper arms,dumbbell,dumbbell alternate preacher curl,arms
upper arms,dumbbell,dumbbell alternate seated hammer curl,arms
shoulders,dumbbell,dumbbell alternate side press,shoulders
upper arms,dumbbell,dumbbell alternating bicep curl with leg raised on exercise ball,arms
upper arms,dumbbell,dumbbell alternating seated bicep curl on exercise ball,arms
shoulders,dumbbell,dumbbell arnold press,shoulders
shoulders,dumbbell,dumbbell arnold press v. 2,shoulders
chest,dumbbell,dumbbell around pullover,chest
chest,dumbbell,dumbbell bench press,chest
shoulders,dumbbell,dumbbell bench seated press,shoulders
upper legs,dumbbell,dumbbell bench squat,legs
back,dumbbell,dumbbell bent over row,back
upper arms,dumbbell,dumbbell bicep curl lunge with bowling motion,arms
upper arms,dumbbell,dumbbell bicep curl on exercise ball with leg raised,arms
upper arms,dumbbell,dumbbell bicep curl with stork stance,arms
upper arms,dumbbell,dumbbell biceps curl,arms
upper arms,dumbbell,dumbbell biceps curl (with arm blaster),arms
upper arms,dumbbell,dumbbell biceps curl reverse,arms
upper arms,dumbbell,dumbbell biceps curl squat,arms
upper arms,dumbbell,dumbbell biceps curl v sit on bosu ball,arms
cardio,dumbbell,dumbbell burpee,cardio
upper legs,dumbbell,dumbbell clean,legs
upper arms,dumbbell,dumbbell close grip press,arms
upper arms,dumbbell,dumbbell close-grip press,arms
upper arms,dumbbell,dumbbell concentration curl,arms
upper legs,dumbbell,dumbbell contralateral forward lunge,legs
upper arms,dumbbell,dumbbell cross body hammer curl,arms
upper arms,dumbbell,dumbbell cross body hammer curl v. 2,arms
shoulders,dumbbell,dumbbell cuban press,shoulders
shoulders,dumbbell,dumbbell cuban press v. 2,shoulders
upper legs,dumbbell,dumbbell deadlift,legs
chest,dumbbell,dumbbell decline bench press,chest
chest,dumbbell,dumbbell decline fly,chest
chest,dumbbell,dumbbell decline hammer press,chest
chest,dumbbell,dumbbell decline one arm fly,chest
upper arms,dumbbell,dumbbell decline one arm hammer press,arms
back,dumbbell,dumbbell decline shrug,back
back,dumbbell,dumbbell decline shrug v. 2,back
upper arms,dumbbell,dumbbell decline triceps extension,arms
chest,dumbbell,dumbbell decline twist fly,chest
lower arms,dumbbell,dumbbell finger curls,arms
chest,dumbbell,dumbbell fly,chest
chest,dumbbell,dumbbell fly on exercise ball,chest
upper arms,dumbbell,dumbbell forward lunge triceps extension,arms
shoulders,dumbbell,dumbbell front raise,shoulders
shoulders,dumbbell,dumbbell front raise v. 2,shoulders
shoulders,dumbbell,dumbbell full can lateral raise,shoulders
upper legs,dumbbell,dumbbell goblet squat,legs
upper arms,dumbbell,dumbbell hammer curl,arms
upper arms,dumbbell,dumbbell hammer curl on exercise ball,arms
upper arms,dumbbell,dumbbell hammer curl v. 2,arms
upper arms,dumbbell,dumbbell hammer curls (with arm blaster),arms
upper arms,dumbbell,dumbbell high curl,arms
chest,dumbbell,dumbbell incline alternate press,chest
chest,dumbbell,dumbbell incline bench press,chest
upper arms,dumbbell,dumbbell incline biceps curl,arms
chest,dumbbell,dumbbell incline breeding,chest
upper arms,dumbbell,dumbbell incline curl,arms
upper arms,dumbbell,dumbbell incline curl v. 2,arms
chest,dumbbell,dumbbell incline fly,chest
chest,dumbbell,dumbbell incline fly on exercise ball,chest
upper arms,dumbbell,dumbbell incline hammer curl,arms
chest,dumbbell,dumbbell incline hammer press,chest
upper arms,dumbbell,dumbbell incline hammer press on exercise ball,arms
upper arms,dumbbell,dumbbell incline inner biceps curl,arms
chest,dumbbell,dumbbell incline one arm fly,chest
chest,dumbbell,dumbbell incline one arm fly on exercise ball,chest
upper arms,dumbbell,dumbbell incline one arm hammer press,arms
upper arms,dumbbell,dumbbell incline one arm hammer press on exercise ball,arms
shoulders,dumbbell,dumbbell incline one arm lateral raise,shoulders
chest,dumbbell,dumbbell incline one arm press,chest
chest,dumbbell,dumbbell incline one arm press on exercise ball,chest
chest,dumbbell,dumbbell incline palm-in press,chest
chest,dumbbell,dumbbell incline press on exercise ball,chest
shoulders,dumbbell,dumbbell incline raise,shoulders
shoulders,dumbbell,dumbbell incline rear lateral raise,shoulders
back,dumbbell,dumbbell incline row,back
chest,dumbbell,dumbbell incline shoulder raise,back
back,dumbbell,dumbbell incline shrug,back
shoulders,dumbbell,dumbbell incline t-raise,shoulders
upper arms,dumbbell,dumbbell incline triceps extension,arms
chest,dumbbell,dumbbell incline twisted flyes,chest
upper arms,dumbbell,dumbbell incline two arm extension,arms
back,dumbbell,dumbbell incline y-raise,back
shoulders,dumbbell,dumbbell iron cross,shoulders
upper arms,dumbbell,dumbbell kickback,arms
upper arms,dumbbell,dumbbell kickbacks on exercise ball,arms
upper arms,dumbbell,dumbbell kneeling bicep curl exercise ball,arms
shoulders,dumbbell,dumbbell lateral raise,shoulders
shoulders,dumbbell,dumbbell lateral to front raise,shoulders
upper legs,dumbbell,dumbbell lunge,legs
upper arms,dumbbell,dumbbell lunge with bicep curl,arms
upper arms,dumbbell,dumbbell lying  extension (across face),arms
upper arms,dumbbell,dumbbell lying alternate extension,arms
upper arms,dumbbell,dumbbell lying elbow press,arms
shoulders,dumbbell,dumbbell lying external shoulder rotation,shoulders
upper legs,dumbbell,dumbbell lying femoral,legs
chest,dumbbell,dumbbell lying hammer press,chest
shoulders,dumbbell,dumbbell lying on floor rear delt raise,shoulders
shoulders,dumbbell,dumbbell lying one arm deltoid rear,shoulders
chest,dumbbell,dumbbell lying one arm press,chest
chest,dumbbell,dumbbell lying one arm press v. 2,chest
upper arms,dumbbell,dumbbell lying one arm pronated triceps extension,arms
shoulders,dumbbell,dumbbell lying one arm rear lateral raise,shoulders
upper arms,dumbbell,dumbbell lying one arm supinated triceps extension,arms
lower arms,dumbbell,dumbbell lying pronation,arms
lower arms,dumbbell,dumbbell lying pronation on floor,arms
chest,dumbbell,dumbbell lying pullover on exercise ball,chest
back,dumbbell,dumbbell lying rear delt row,back
shoulders,dumbbell,dumbbell lying rear lateral raise,shoulders
upper arms,dumbbell,dumbbell lying single extension,arms
lower arms,dumbbell,dumbbell lying supination,arms
lower arms,dumbbell,dumbbell lying supination on floor,arms
upper arms,dumbbell,dumbbell lying supine biceps curl,arms
upper arms,dumbbell,dumbbell lying supine curl,arms
upper arms,dumbbell,dumbbell lying triceps extension,arms
upper arms,dumbbell,dumbbell lying wide curl,arms
upper arms,dumbbell,dumbbell neutral grip bench press,arms
chest,dumbbell,dumbbell one arm bench fly,chest
back,dumbbell,dumbbell one arm bent-over row,back
chest,dumbbell,dumbbell one arm chest fly on exercise ball,chest
upper arms,dumbbell,dumbbell one arm concetration curl (on stability ball),arms
chest,dumbbell,dumbbell one arm decline chest press,chest
chest,dumbbell,dumbbell one arm fly on exercise ball,chest
upper arms,dumbbell,dumbbell one arm french press on exercise ball,arms
upper arms,dumbbell,dumbbell one arm hammer preacher curl,arms
upper arms,dumbbell,dumbbell one arm hammer press on exercise ball,arms
chest,dumbbell,dumbbell one arm incline chest press,chest
upper arms,dumbbell,dumbbell one arm kickback,arms
shoulders,dumbbell,dumbbell one arm lateral raise,shoulders
shoulders,dumbbell,dumbbell one arm lateral raise with support,shoulders
chest,dumbbell,dumbbell one arm press on exercise ball,chest
upper arms,dumbbell,dumbbell one arm prone curl,arms
upper arms,dumbbell,dumbbell one arm prone hammer curl,arms
chest,dumbbell,dumbbell one arm pullover on exercise ball,chest
lower arms,dumbbell,dumbbell one arm revers wrist curl,arms
shoulders,dumbbell,dumbbell one arm reverse fly (with support),shoulders
chest,dumbbell,dumbbell one arm reverse grip press,chest
upper arms,dumbbell,dumbbell one arm reverse preacher curl,arms
upper arms,dumbbell,dumbbell one arm reverse spider curl,arms
upper arms,dumbbell,dumbbell one arm seated bicep curl on exercise ball,arms
upper arms,dumbbell,dumbbell one arm seated hammer curl,arms
lower arms,dumbbell,dumbbell one arm seated neutral wrist curl,arms
shoulders,dumbbell,dumbbell one arm shoulder press,shoulders
shoulders,dumbbell,dumbbell one arm shoulder press v. 2,shoulders
upper legs,dumbbell,dumbbell one arm snatch,legs
upper arms,dumbbell,dumbbell one arm standing curl,arms
upper arms,dumbbell,dumbbell one arm standing hammer curl,arms
upper arms,dumbbell,dumbbell one arm triceps extension (on bench),arms
shoulders,dumbbell,dumbbell one arm upright row,shoulders
lower arms,dumbbell,dumbbell one arm wrist curl,arms
upper arms,dumbbell,dumbbell one arm zottman preacher curl,arms
chest,dumbbell,dumbbell one leg fly on exercise ball,chest
upper arms,dumbbell,dumbbell over bench neutral wrist curl,arms
